open_time_ms,open,high,low,close,vol_base,vol_quote
1785463200000,0.2341,0.2344,0.2329,0.2331,8785.3832,2052.1713
1785466800000,0.2331,0.2336,0.2321,0.2323,10174.6343,2368.4281
1785470400000,0.2323,0.2344,0.232,0.2323,9385.618,2184.5282
1785474000000,0.2323,0.233,0.2318,0.2326,10029.3428,2331.022
1785477600000,0.2326,0.2339,0.2316,0.2326,11207.1649,2606.8368
1785481200000,0.2326,0.2345,0.2316,0.2338,10440.1262,2435.7592
1785484800000,0.2338,0.2341,0.2321,0.2324,11326.1869,2641.1262
1785488400000,0.2324,0.2326,0.2305,0.231,10053.7649,2330.1251
1785492000000,0.231,0.2329,0.2309,0.2327,10761.1092,2499.1206
1785495600000,0.2327,0.2332,0.2318,0.2321,10931.7026,2540.8823
1785499200000,0.2321,0.2327,0.2314,0.2326,10085.6009,2341.0337
1785502800000,0.2326,0.2332,0.2302,0.2304,8165.1542,1892.1771
1785506400000,0.2304,0.232,0.2297,0.231,11867.1902,2743.166
1785510000000,0.231,0.2318,0.2304,0.2307,12479.3045,2882.1777
1785513600000,0.2307,0.2318,0.2306,0.2318,19345.2833,4472.024
1785517200000,0.2318,0.232,0.231,0.2319,9931.1502,2300.0237
1785520800000,0.2319,0.232,0.2308,0.2312,9512.6274,2202.0542
1785524400000,0.2312,0.2314,0.2303,0.2305,9090.1124,2097.2905
1785528000000,0.2305,0.2314,0.2301,0.2305,9039.5897,2086.4417
1785531600000,0.2305,0.2311,0.2301,0.2302,8357.5813,1926.8831
1785535200000,0.2302,0.2304,0.2294,0.2294,11300.5879,2596.5271
1785538800000,0.2294,0.2299,0.2291,0.2296,7883.9843,1810.6215
1785542400000,0.2296,0.2315,0.229,0.2312,10242.6709,2358.1135
1785546000000,0.2312,0.232,0.2311,0.2319,8585.6305,1988.4835
1785549600000,0.2319,0.2319,0.231,0.2319,10926.2624,2529.6773
1785553200000,0.2319,0.2324,0.2313,0.2322,14774.1235,3428.1272
1785556800000,0.2322,0.2333,0.232,0.2331,10929.6217,2541.0852
1785560400000,0.2331,0.2375,0.2331,0.2366,10537.4017,2466.2073
1785564000000,0.2366,0.2394,0.2365,0.2385,10219.442,2433.3575
1785567600000,0.2385,0.24,0.2376,0.2376,9422.9572,2252.4303
1785571200000,0.2376,0.2415,0.2376,0.2402,10550.6658,2527.5401
1785574800000,0.2402,0.2408,0.2391,0.2407,12771.5517,3069.0365
1785578400000,0.2407,0.2421,0.2389,0.2394,13563.1866,3263.3742
1785582000000,0.2394,0.2403,0.2376,0.2397,9747.2838,2334.6416
1785585600000,0.2397,0.2402,0.2374,0.2377,8602.2607,2055.6468
1785589200000,0.2377,0.24,0.2372,0.2397,11223.0996,2672.5341
1785592800000,0.2397,0.2403,0.2385,0.2397,8546.7849,2048.6682
1785596400000,0.2397,0.2422,0.2386,0.2397,11757.1443,2817.1774
1785600000000,0.2397,0.2447,0.2382,0.2393,16174.6157,3899.2902
1785603600000,0.2393,0.2399,0.2362,0.2375,10677.4251,2536.5569
1785607200000,0.2375,0.2386,0.2351,0.2364,8645.3066,2051.7603
1785610800000,0.2364,0.2375,0.2356,0.2367,11903.2951,2815.1754
1785614400000,0.2367,0.2369,0.2347,0.2354,14896.7284,3511.8011
1785618000000,0.2354,0.2374,0.2354,0.2374,9885.2357,2339.4387
1785621600000,0.2374,0.2374,0.2363,0.2364,9732.6604,2305.1859
1785625200000,0.2364,0.2368,0.236,0.2367,9089.751,2149.0525
1785628800000,0.2367,0.2369,0.2355,0.2367,8805.5329,2081.3288
1785632400000,0.2367,0.2374,0.2363,0.2369,10409.1075,2465.4016
1785636000000,0.2369,0.239,0.2367,0.2379,8326.1773,1984.6506
1785639600000,0.2379,0.2381,0.2369,0.2373,12228.1349,2907.2137
1785643200000,0.2373,0.2375,0.2363,0.237,10256.8091,2428.896
1785646800000,0.237,0.2372,0.2365,0.2368,11387.7879,2696.837
1785650400000,0.2368,0.2368,0.2354,0.2359,9480.5344,2236.6752
1785654000000,0.2359,0.2384,0.2359,0.2379,11494.0931,2726.9519
1785657600000,0.2379,0.2387,0.2376,0.2382,9891.4458,2354.343
1785661200000,0.2382,0.2387,0.2376,0.2383,8391.1193,1998.2368
