ts_ms,side,fill_price,mid_at_fill,px_1h,px_2h,px_4h,px_8h,px_12h
1785470400000,ask,0.2334615,0.2323,0.2326,0.2326,0.2324,0.2326,0.2318
1785481200000,ask,0.23376299999999997,0.2326,0.2324,0.231,0.2321,0.2307,0.2305
1785484800000,bid,0.232631,0.2338,0.231,0.2327,0.2326,0.2318,0.2305
1785488400000,bid,0.231238,0.2324,0.2327,0.2321,0.2304,0.2319,0.2302
1785492000000,ask,0.23215499999999997,0.231,0.2321,0.2326,0.231,0.2312,0.2294
1785502800000,bid,0.231437,0.2326,0.231,0.2307,0.2319,0.2302,0.2319
1785506400000,ask,0.23155199999999998,0.2304,0.2307,0.2318,0.2312,0.2294,0.2319
1785542400000,ask,0.23074799999999998,0.2296,0.2319,0.2319,0.2331,0.2402,0.2377
1785560400000,ask,0.2342655,0.2331,0.2385,0.2376,0.2407,0.2397,0.2375
1785571200000,ask,0.23878799999999997,0.2376,0.2407,0.2394,0.2377,0.2393,0.2354
1785578400000,bid,0.2394965,0.2407,0.2397,0.2377,0.2397,0.2364,0.2364
1785582000000,bid,0.238203,0.2394,0.2377,0.2397,0.2397,0.2367,0.2367
1785589200000,ask,0.23888849999999998,0.2377,0.2397,0.2397,0.2375,0.2374,0.2369
1785592800000,bid,0.2385015,0.2397,0.2397,0.2393,0.2364,0.2364,0.2379
1785596400000,ask,0.24089849999999996,0.2397,0.2393,0.2375,0.2367,0.2367,0.2373
1785600000000,bid,0.2385015,0.2397,0.2375,0.2364,0.2354,0.2367,0.237
1785600000000,ask,0.24089849999999996,0.2397,0.2375,0.2364,0.2354,0.2367,0.237
1785603600000,bid,0.23810350000000002,0.2393,0.2364,0.2367,0.2374,0.2369,0.2368
1785614400000,bid,0.2355165,0.2367,0.2374,0.2364,0.2367,0.237,0.2382
1785618000000,ask,0.23657699999999998,0.2354,0.2364,0.2367,0.2369,0.2368,0.2383
1785628800000,bid,0.2355165,0.2367,0.2369,0.2379,0.237,0.2382,0.2394
1785636000000,ask,0.23808449999999998,0.2369,0.2373,0.237,0.2359,0.2389,0.239
1785650400000,bid,0.23561600000000002,0.2368,0.2379,0.2382,0.2389,0.239,0.2382
1785654000000,ask,0.23707949999999997,0.2359,0.2382,0.2383,0.2391,0.2389,0.2381
1785675600000,bid,0.238203,0.2394,0.239,0.2389,0.2379,0.2393,0.2367
1785686400000,bid,0.23770550000000001,0.2389,0.2379,0.2382,0.2381,0.2373,0.2357
