ts_ms,side,fill_price,mid_at_fill,px_1h,px_2h,px_4h,px_8h,px_12h
1785546000000,ask,0.013085099999999999,0.01302,0.01293,0.01299,0.01341,0.01364,0.01358
1785549600000,bid,0.012934999999999999,0.013,0.01299,0.01308,0.01331,0.01359,0.01389
1785553200000,ask,0.01299465,0.01293,0.01308,0.01341,0.01324,0.01344,0.01385
1785564000000,bid,0.01334295,0.01341,0.01324,0.01343,0.01359,0.01389,0.0133
1785564000000,ask,0.013477049999999999,0.01341,0.01324,0.01343,0.01359,0.01389,0.0133
1785567600000,bid,0.01324345,0.01331,0.01343,0.01364,0.01344,0.01385,0.01339
1785567600000,ask,0.01337655,0.01331,0.01343,0.01364,0.01344,0.01385,0.01339
1785571200000,ask,0.013306199999999999,0.01324,0.01364,0.01359,0.0135,0.01367,0.01345
1785578400000,bid,0.013571799999999998,0.01364,0.01344,0.0135,0.01389,0.0133,0.01336
1785582000000,bid,0.013522049999999999,0.01359,0.0135,0.01358,0.01385,0.01339,0.01347
1785585600000,ask,0.013507199999999999,0.01344,0.01358,0.01389,0.01367,0.01345,0.01343
1785589200000,ask,0.013567499999999998,0.0135,0.01389,0.01385,0.01355,0.01343,0.0134
1785596400000,bid,0.01382055,0.01389,0.01367,0.01355,0.01339,0.01347,0.01338
1785600000000,bid,0.01378075,0.01385,0.01355,0.0133,0.01345,0.01343,0.01344
1785600000000,ask,0.013919249999999998,0.01385,0.01355,0.0133,0.01345,0.01343,0.01344
1785603600000,bid,0.01360165,0.01367,0.0133,0.01339,0.01343,0.0134,0.01327
1785610800000,ask,0.013366499999999998,0.0133,0.01345,0.01343,0.01347,0.01338,0.01338
1785614400000,ask,0.013456949999999999,0.01339,0.01343,0.01336,0.01343,0.01344,0.01328
1785621600000,bid,0.013362849999999999,0.01343,0.01347,0.01343,0.01334,0.0133,0.01314
1785625200000,ask,0.0134268,0.01336,0.01343,0.0134,0.01338,0.01338,0.01313
1785628800000,bid,0.013402649999999999,0.01347,0.0134,0.01334,0.01344,0.01328,0.01309
1785632400000,ask,0.013497149999999998,0.01343,0.01334,0.01338,0.01327,0.01329,0.01307
1785636000000,bid,0.013333000000000001,0.0134,0.01338,0.01344,0.0133,0.01314,0.01312
1785639600000,ask,0.013406699999999999,0.01334,0.01344,0.01327,0.01338,0.01313,0.01314
1785643200000,bid,0.0133131,0.01338,0.01327,0.0133,0.01328,0.01309,0.01315
1785646800000,bid,0.0133728,0.01344,0.0133,0.01338,0.01329,0.01307,0.01312
1785650400000,ask,0.013336349999999999,0.01327,0.01338,0.01328,0.01314,0.01312,0.01313
1785654000000,ask,0.013366499999999998,0.0133,0.01328,0.01329,0.01313,0.01314,0.01309
1785657600000,bid,0.0133131,0.01338,0.01329,0.01314,0.01309,0.01315,0.01304
1785661200000,ask,0.0133464,0.01328,0.01314,0.01313,0.01307,0.01312,0.0131
1785664800000,bid,0.013223549999999999,0.01329,0.01313,0.01309,0.01312,0.01313,0.01307
1785668400000,ask,0.013205699999999999,0.01314,0.01309,0.01307,0.01314,0.01309,0.01317
1785672000000,bid,0.013064349999999999,0.01313,0.01307,0.01312,0.01315,0.01304,0.01319
1785679200000,ask,0.013135349999999999,0.01307,0.01314,0.01315,0.01313,0.01307,0.01313
1785686400000,bid,0.0130743,0.01314,0.01312,0.01313,0.01304,0.01319,0.01311
1785704400000,ask,0.013105199999999997,0.01304,0.01307,0.01317,0.0131,0.01315,0.01302
1785708000000,bid,0.013034500000000001,0.0131,0.01317,0.01319,0.01313,0.01291,0.013
1785711600000,ask,0.013135349999999999,0.01307,0.01319,0.0131,0.01312,0.01292,0.01336
1785718800000,bid,0.01312405,0.01319,0.01313,0.01312,0.01315,0.01302,0.01323
1785722400000,ask,0.013165499999999998,0.0131,0.01312,0.01311,0.01291,0.013,0.01316
1785726000000,bid,0.013064349999999999,0.01313,0.01311,0.01315,0.01292,0.01336,0.01323
1785729600000,ask,0.013185599999999999,0.01312,0.01315,0.01291,0.01301,0.01327,0.01311
1785736800000,bid,0.01308425,0.01315,0.01292,0.01301,0.013,0.01316,0.01317
1785740400000,ask,0.012974549999999998,0.01291,0.01301,0.01302,0.01336,0.01323,0.01312
1785747600000,bid,0.01294495,0.01301,0.013,0.01336,0.01323,0.01315,0.01313
