open_time_ms,open,high,low,close,vol_base,vol_quote
1784941200000,0.04542,0.04588,0.04542,0.04582,62211.67,2836.9203
1784944800000,0.04582,0.04593,0.04562,0.04576,80388.83,3682.37974
1784948400000,0.04576,0.04577,0.04566,0.04569,43579.05,1992.3623
1784952000000,0.04569,0.04572,0.04562,0.04568,51155.75,2336.90939
1784955600000,0.04568,0.04572,0.04563,0.04571,51015.58,2330.68338
1784959200000,0.04571,0.04571,0.04555,0.04562,69307.92,3160.39645
1784962800000,0.04562,0.04571,0.04562,0.04567,46640.1,2130.51469
1784966400000,0.04567,0.04576,0.04563,0.04569,46611.99,2130.30948
1784970000000,0.04569,0.04573,0.04562,0.04571,46089.77,2105.16014
1784973600000,0.04571,0.04574,0.04561,0.04567,48829.63,2231.25748
1784977200000,0.04567,0.04569,0.04551,0.04559,44849.43,2044.65594
1784980800000,0.04559,0.04561,0.04552,0.04556,49947.1,2275.55039
1784984400000,0.04556,0.04565,0.04553,0.0456,45675.48,2082.57262
1784988000000,0.0456,0.04565,0.04555,0.04559,57929.91,2641.83249
1784991600000,0.04559,0.04559,0.04546,0.04549,40191.9,1830.35593
1784995200000,0.04549,0.0456,0.04548,0.04558,55378.74,2522.36819
1784998800000,0.04558,0.0456,0.04552,0.04553,49453.66,2253.46543
1785002400000,0.04553,0.04555,0.0455,0.04552,46417.04,2112.81935
1785006000000,0.04552,0.04561,0.0455,0.04556,50574.83,2303.16597
1785009600000,0.04556,0.04556,0.04549,0.0455,49018.49,2231.1268
1785013200000,0.0455,0.0455,0.04547,0.04549,53807.83,2447.91047
1785016800000,0.04549,0.0455,0.04548,0.04549,57837.81,2631.3084
1785020400000,0.04549,0.04559,0.04549,0.04559,53014.4,2412.98291
1785024000000,0.04559,0.04566,0.04553,0.04556,45281.02,2064.97681
1785027600000,0.04556,0.04559,0.04553,0.04556,52087.03,2373.59513
1785031200000,0.04556,0.04557,0.04517,0.04524,54154.77,2462.61063
1785034800000,0.04524,0.0454,0.04516,0.04526,58697.51,2659.59529
1785038400000,0.04526,0.04545,0.04525,0.04543,51422.68,2330.82546
1785042000000,0.04543,0.04552,0.04541,0.0455,38812.59,1765.14595
1785045600000,0.0455,0.04553,0.04537,0.04549,45092.25,2048.97451
1785049200000,0.04549,0.04554,0.04544,0.0455,57727.8,2626.65075
1785052800000,0.0455,0.04554,0.04545,0.04549,46503.1,2116.08706
1785056400000,0.04549,0.04552,0.04545,0.04549,49085.39,2232.4875
1785060000000,0.04549,0.04559,0.04549,0.04557,49333.21,2246.76746
1785063600000,0.04557,0.04583,0.04551,0.04575,59530.71,2713.16919
1785067200000,0.04575,0.04579,0.04544,0.04549,119146.87,5422.47271
1785070800000,0.04549,0.0455,0.04543,0.04549,57711.05,2625.068
1785074400000,0.04549,0.04552,0.04544,0.04551,50894.54,2314.80403
1785078000000,0.04551,0.04559,0.04549,0.04558,45811.68,2086.43511
1785081600000,0.04558,0.04562,0.04556,0.0456,42848.22,1953.92532
1785085200000,0.0456,0.04561,0.04554,0.04554,53691.6,2446.58181
1785088800000,0.04554,0.04555,0.04545,0.04552,47827.23,2177.09637
1785092400000,0.04552,0.04555,0.04544,0.04553,63000.05,2866.46792
1785096000000,0.04553,0.04556,0.04549,0.04551,49234.91,2241.86213
1785099600000,0.04551,0.04558,0.04545,0.04554,50374.98,2293.5282
1785103200000,0.04554,0.04561,0.04552,0.04555,48098.8,2191.47296
1785106800000,0.04555,0.04555,0.04551,0.04553,54512.26,2482.14844
1785110400000,0.04553,0.04555,0.04543,0.04543,70311.71,3197.70943
1785114000000,0.04543,0.04544,0.04528,0.04543,51495.8,2335.93958
1785117600000,0.04543,0.04553,0.04535,0.0455,51775.93,2350.69406
1785121200000,0.0455,0.0455,0.04537,0.04541,37932.69,1723.37181
1785124800000,0.04541,0.04546,0.04539,0.04541,49718.16,2258.89673
1785128400000,0.04541,0.04544,0.04528,0.04535,47939.16,2175.64864
1785132000000,0.04535,0.0454,0.04531,0.04534,47156.57,2139.28234
1785135600000,0.04534,0.04537,0.04518,0.04537,91515.75,4144.46772
1785139200000,0.04537,0.04537,0.04528,0.04534,49610.2,2247.8711
1785142800000,0.04534,0.04552,0.04522,0.04523,74940.25,3399.82276
1785146400000,0.04523,0.04526,0.04512,0.04522,103881.15,4694.38995
1785150000000,0.04522,0.04533,0.04521,0.04526,54053.7,2447.33714
1785153600000,0.04526,0.04532,0.04525,0.04532,60172.4,2724.68468
1785157200000,0.04532,0.04549,0.04531,0.04533,110801.2,5032.48525
1785160800000,0.04533,0.04547,0.045,0.04534,85283.35,3868.58091
1785164400000,0.04534,0.04534,0.0451,0.04518,51428.45,2324.65796
1785168000000,0.04518,0.04522,0.0451,0.04518,52399.97,2366.54349
1785171600000,0.04518,0.04523,0.04515,0.04523,43259.62,1954.67901
1785175200000,0.04523,0.04529,0.04519,0.04521,49545.82,2240.96556
1785178800000,0.04521,0.0454,0.0452,0.04539,74419.4,3372.43226
1785182400000,0.04539,0.04545,0.04535,0.04538,62982.75,2857.79689
1785186000000,0.04538,0.04544,0.04533,0.04538,60240.3,2734.34451
1785189600000,0.04538,0.04557,0.04528,0.0453,88115.9,4001.11618
1785193200000,0.0453,0.04536,0.04513,0.04521,52775.27,2388.08838
