ts_ms,side,fill_price,mid_at_fill,px_1h,px_2h,px_4h,px_8h,px_12h
1785031200000,bid,0.0453322,0.04556,0.04526,0.04543,0.04549,0.04557,0.04551
1785063600000,ask,0.045797849999999994,0.04557,0.04549,0.04549,0.04558,0.04553,0.04553
1785067200000,bid,0.04552125,0.04575,0.04549,0.04551,0.0456,0.04551,0.04543
1785160800000,bid,0.04510335,0.04533,0.04518,0.04518,0.04521,0.0453,0.04522
1785211200000,ask,0.045506399999999995,0.04528,0.04516,0.04514,0.04519,0.04522,0.04506
1785236400000,ask,0.045335549999999995,0.04511,0.04522,0.04488,0.04505,0.0452,0.04506
1785240000000,bid,0.045262550000000006,0.04549,0.04488,0.045,0.04506,0.04509,0.04522
1785243600000,bid,0.0449939,0.04522,0.045,0.04505,0.04508,0.04519,0.04501
1785250800000,ask,0.045224999999999994,0.045,0.04506,0.04508,0.0452,0.04506,0.04444
1785261600000,bid,0.0448546,0.04508,0.0452,0.04509,0.04514,0.04476,0.04459
1785265200000,ask,0.04521495,0.04499,0.04509,0.04519,0.04506,0.04444,0.04457
1785290400000,bid,0.044784950000000004,0.04501,0.04444,0.04472,0.04459,0.04486,0.04441
1785297600000,ask,0.04466219999999999,0.04444,0.04455,0.04459,0.04439,0.04456,0.04417
1785315600000,ask,0.04461195,0.04439,0.04486,0.04457,0.04457,0.04403,0.04356
1785319200000,bid,0.044725249999999994,0.04495,0.04457,0.04456,0.04441,0.04414,0.04379
1785322800000,bid,0.0446357,0.04486,0.04456,0.04457,0.04448,0.04387,0.04368
1785337200000,ask,0.04463204999999999,0.04441,0.04417,0.04403,0.04387,0.04368,0.04377
1785340800000,bid,0.0442576,0.04448,0.04403,0.04414,0.04333,0.04355,0.044
1785344400000,bid,0.04394915,0.04417,0.04414,0.04387,0.04356,0.04383,0.04406
1785355200000,bid,0.04365065,0.04387,0.04356,0.04379,0.04355,0.044,0.04377
1785358800000,ask,0.04354665,0.04333,0.04379,0.04368,0.04383,0.04406,0.04359
1785362400000,ask,0.0437778,0.04356,0.04368,0.04355,0.04375,0.04407,0.04359
1785369600000,bid,0.043461599999999996,0.04368,0.04383,0.04375,0.044,0.04377,0.04346
1785373200000,ask,0.043767749999999994,0.04355,0.04375,0.04377,0.04406,0.04359,0.04337
1785384000000,ask,0.043988849999999996,0.04377,0.04406,0.04407,0.04377,0.04346,0.04232
1785394800000,bid,0.04384965,0.04407,0.04377,0.04359,0.04362,0.04316,0.04222
1785423600000,bid,0.0430835,0.0433,0.04232,0.0422,0.04222,0.04279,0.04296
1785434400000,bid,0.041989,0.0422,0.04222,0.04238,0.04315,0.0427,0.04209
1785438000000,ask,0.0418683,0.04166,0.04238,0.04293,0.04279,0.04296,0.0419
1785441600000,ask,0.0424311,0.04222,0.04293,0.04315,0.0434,0.043,0.04205
1785452400000,bid,0.04293425,0.04315,0.0434,0.04322,0.04296,0.0419,0.04173
1785456000000,ask,0.04300395,0.04279,0.04322,0.0427,0.043,0.04205,0.0418
1785459600000,bid,0.043183,0.0434,0.0427,0.04296,0.04228,0.04197,0.04173
1785459600000,ask,0.043616999999999996,0.0434,0.0427,0.04296,0.04228,0.04197,0.04173
1785463200000,bid,0.043003900000000005,0.04322,0.04296,0.043,0.04209,0.04181,0.04145
1785466800000,ask,0.0429135,0.0427,0.043,0.04228,0.0419,0.04173,0.04106
1785474000000,bid,0.042785,0.043,0.04209,0.0419,0.04197,0.04173,0.04142
1785477600000,ask,0.04249139999999999,0.04228,0.0419,0.04205,0.04181,0.04145,0.04156
1785481200000,bid,0.04187955,0.04209,0.04205,0.04197,0.04173,0.04106,0.04144
1785506400000,bid,0.041521350000000005,0.04173,0.04106,0.04127,0.04156,0.04143,0.04146
1785513600000,ask,0.0412653,0.04106,0.04142,0.04156,0.04141,0.0415,0.04131
1785517200000,bid,0.04106365,0.04127,0.04156,0.04144,0.04129,0.04121,0.0411
1785546000000,bid,0.0412925,0.0415,0.04146,0.04135,0.0411,0.04102,0.04103
1785549600000,ask,0.04141604999999999,0.04121,0.04135,0.04131,0.04115,0.04088,0.04106
1785553200000,bid,0.041252699999999996,0.04146,0.04131,0.0411,0.04094,0.04074,0.04105
1785556800000,ask,0.041556749999999996,0.04135,0.0411,0.04115,0.04114,0.0411,0.04098
1785560400000,bid,0.04110345,0.04131,0.04115,0.04094,0.04102,0.04103,0.04096
1785571200000,ask,0.04114469999999999,0.04094,0.04102,0.04088,0.0411,0.04098,0.04045
1785578400000,bid,0.0408149,0.04102,0.04074,0.0411,0.04106,0.04067,0.04083
