ts_ms,side,fill_price,mid_at_fill,px_1h,px_2h,px_4h,px_8h,px_12h
1784944800000,ask,0.04416975,0.04395,0.04407,0.0442,0.04385,0.04377,0.04408
1784955600000,bid,0.043979000000000004,0.0442,0.04385,0.04367,0.04374,0.04406,0.04455
1784977200000,ask,0.043988849999999996,0.04377,0.04391,0.04406,0.04455,0.04432,0.04434
1784991600000,ask,0.0443004,0.04408,0.04435,0.04455,0.04432,0.04434,0.04437
1784995200000,bid,0.04432725,0.04455,0.04455,0.04434,0.04424,0.04427,0.04444
1784998800000,ask,0.04457174999999999,0.04435,0.04434,0.04432,0.04443,0.04439,0.04458
1785002400000,bid,0.04432725,0.04455,0.04432,0.04424,0.04436,0.04435,0.04444
1785042000000,ask,0.04466219999999999,0.04444,0.04444,0.04443,0.04452,0.04527,0.04484
1785045600000,bid,0.044357100000000003,0.04458,0.04443,0.04467,0.04443,0.04554,0.04468
1785052800000,ask,0.044652149999999995,0.04443,0.04452,0.04443,0.04496,0.04517,0.04487
1785063600000,ask,0.044652149999999995,0.04443,0.04496,0.04527,0.04526,0.04465,0.04526
1785067200000,bid,0.0449541,0.04518,0.04527,0.04554,0.04517,0.04487,0.04499
1785070800000,ask,0.0451848,0.04496,0.04554,0.04526,0.04484,0.04501,0.04468
1785078000000,bid,0.0453123,0.04554,0.04517,0.04484,0.04465,0.04526,0.04436
1785081600000,bid,0.0450337,0.04526,0.04484,0.04468,0.04487,0.04499,0.04448
1785096000000,ask,0.044873249999999996,0.04465,0.04501,0.04526,0.04499,0.04448,0.04406
1785110400000,bid,0.0450337,0.04526,0.04468,0.04472,0.04448,0.04406,0.04387
1785121200000,bid,0.044496400000000005,0.04472,0.04448,0.04445,0.04425,0.04393,0.043
1785124800000,ask,0.04458179999999999,0.04436,0.04445,0.04435,0.04406,0.04387,0.04327
1785132000000,ask,0.04467225,0.04445,0.04425,0.04406,0.04414,0.04304,0.04348
1785139200000,bid,0.04402875,0.04425,0.04406,0.04414,0.04387,0.04327,0.04425
1785150000000,bid,0.0439193,0.04414,0.04387,0.04386,0.043,0.04378,0.04313
1785157200000,ask,0.04408934999999999,0.04387,0.04304,0.043,0.04338,0.04427,0.04358
1785160800000,bid,0.043640700000000004,0.04386,0.043,0.04327,0.04348,0.04333,0.04324
1785168000000,ask,0.04321499999999999,0.043,0.04338,0.04348,0.04425,0.04325,0.04287
1785178800000,ask,0.04369739999999999,0.04348,0.04425,0.04427,0.04313,0.04313,0.04275
1785189600000,bid,0.044048649999999995,0.04427,0.04313,0.04325,0.04324,0.04296,0.04255
1785193200000,ask,0.04354665,0.04333,0.04325,0.04358,0.04313,0.04275,0.04264
1785196800000,ask,0.04334565,0.04313,0.04358,0.04324,0.04287,0.04269,0.04273
1785200400000,bid,0.043033749999999996,0.04325,0.04324,0.04313,0.04263,0.04259,0.04244
1785204000000,bid,0.0433621,0.04358,0.04313,0.04287,0.04296,0.04255,0.04264
1785204000000,ask,0.043797899999999994,0.04358,0.04313,0.04287,0.04296,0.04255,0.04264
1785207600000,bid,0.0430238,0.04324,0.04287,0.04263,0.04275,0.04264,0.04317
1785218400000,ask,0.042843149999999997,0.04263,0.04275,0.04269,0.04255,0.04264,0.04296
1785222000000,bid,0.0427452,0.04296,0.04269,0.04259,0.04264,0.04317,0.04326
1785229200000,ask,0.042903449999999996,0.04269,0.04255,0.04264,0.04244,0.04306,0.04336
1785232800000,bid,0.04237705,0.04259,0.04264,0.04273,0.04264,0.04296,0.04298
1785236400000,ask,0.042762749999999995,0.04255,0.04273,0.04244,0.04317,0.04326,0.04313
1785243600000,bid,0.042516349999999994,0.04273,0.04264,0.04317,0.04306,0.04336,0.04261
1785247200000,ask,0.042652199999999994,0.04244,0.04317,0.04338,0.04296,0.04298,0.04253
1785258000000,bid,0.0431631,0.04338,0.04296,0.04326,0.04336,0.04261,0.04244
1785261600000,ask,0.043275299999999996,0.04306,0.04326,0.04314,0.04298,0.04253,0.04266
1785265200000,ask,0.04317479999999999,0.04296,0.04314,0.04336,0.04313,0.04206,0.04272
1785276000000,bid,0.0431432,0.04336,0.04313,0.04304,0.04253,0.04266,0.04278
1785279600000,ask,0.043194899999999994,0.04298,0.04304,0.04261,0.04206,0.04272,0.04266
1785286800000,bid,0.0428248,0.04304,0.04253,0.04206,0.04244,0.04289,0.04248
1785297600000,bid,0.0418497,0.04206,0.04244,0.04266,0.04272,0.04269,0.04217
1785297600000,ask,0.0422703,0.04206,0.04244,0.04266,0.04272,0.04269,0.04217
1785301200000,ask,0.04244114999999999,0.04223,0.04266,0.04272,0.04289,0.04248,0.04229
1785312000000,ask,0.042933599999999995,0.04272,0.04289,0.04278,0.04269,0.04217,0.04143
1785326400000,ask,0.04287329999999999,0.04266,0.04248,0.04214,0.04217,0.04143,0.04133
1785330000000,bid,0.04247655,0.04269,0.04214,0.04216,0.04229,0.04145,0.04193
1785333600000,bid,0.042267599999999995,0.04248,0.04216,0.04217,0.04235,0.04146,0.04207
1785337200000,ask,0.04235069999999999,0.04214,0.04217,0.04229,0.04174,0.04163,0.04223
1785348000000,bid,0.04207855,0.04229,0.04174,0.04143,0.04146,0.04207,0.04243
1785348000000,ask,0.042501449999999996,0.04229,0.04174,0.04143,0.04146,0.04207,0.04243
1785351600000,bid,0.042138249999999995,0.04235,0.04143,0.04145,0.04163,0.04223,0.04237
1785369600000,bid,0.04142185,0.04163,0.04193,0.04207,0.04205,0.04272,0.04289
1785369600000,ask,0.04183815,0.04163,0.04193,0.04207,0.04205,0.04272,0.04289
1785373200000,ask,0.041536649999999994,0.04133,0.04207,0.04223,0.04232,0.04226,0.04269
1785384000000,bid,0.042018849999999996,0.04223,0.04232,0.04243,0.04272,0.04289,0.04229
1785387600000,ask,0.04226024999999999,0.04205,0.04243,0.04237,0.04226,0.04269,0.04235
1785394800000,ask,0.04264215,0.04243,0.04272,0.04226,0.04219,0.04236,0.04245
1785402000000,bid,0.0425064,0.04272,0.04216,0.04219,0.04269,0.04235,0.0423
1785412800000,ask,0.04240094999999999,0.04219,0.04269,0.04245,0.04229,0.04232,0.04228
1785416400000,bid,0.04267555,0.04289,0.04245,0.04236,0.04235,0.0423,0.04225
1785420000000,bid,0.04247655,0.04269,0.04236,0.04229,0.04231,0.04236,0.04208
1785459600000,ask,0.04249139999999999,0.04228,0.04208,0.04215,0.04209,0.04168,0.04179
1785463200000,bid,0.04203875,0.04225,0.04215,0.04206,0.04206,0.04195,0.04189
1785481200000,bid,0.0418497,0.04206,0.04178,0.04168,0.04177,0.04127,0.04087
1785492000000,ask,0.0418884,0.04168,0.04177,0.04213,0.04189,0.04104,0.04086
1785502800000,bid,0.04191935,0.04213,0.04189,0.04127,0.04138,0.04066,0.04103
1785506400000,ask,0.04199894999999999,0.04179,0.04127,0.04127,0.04104,0.04086,0.04137
1785510000000,bid,0.04168055,0.04189,0.04127,0.04138,0.04087,0.04087,0.04115
1785517200000,ask,0.041476349999999995,0.04127,0.04104,0.04087,0.04066,0.04103,0.04111
1785520800000,bid,0.0411731,0.04138,0.04087,0.04088,0.04086,0.04137,0.04126
1785528000000,ask,0.041074349999999996,0.04087,0.04066,0.04086,0.04097,0.04125,0.04113
1785531600000,bid,0.0406756,0.04088,0.04086,0.04087,0.04103,0.04111,0.04115
1785535200000,ask,0.0408633,0.04066,0.04087,0.04097,0.04137,0.04126,0.04105
1785542400000,ask,0.041074349999999996,0.04087,0.04103,0.04137,0.04125,0.04113,0.04138
1785553200000,bid,0.041163149999999996,0.04137,0.04125,0.04111,0.04111,0.04107,0.04097
1785564000000,ask,0.04131555,0.04111,0.04111,0.04113,0.04105,0.04125,0.04044
1785585600000,ask,0.041275349999999995,0.04107,0.04135,0.04125,0.04093,0.04044,0.04059
1785589200000,bid,0.0411731,0.04138,0.04125,0.04097,0.04076,0.04063,0.04087
1785592800000,bid,0.04114325,0.04135,0.04097,0.04093,0.04044,0.04064,0.04106
1785603600000,bid,0.04072535,0.04093,0.04044,0.04067,0.04063,0.04087,0.04096
1785610800000,ask,0.04064219999999999,0.04044,0.04044,0.04063,0.04055,0.04096,0.04104
1785614400000,bid,0.04046665,0.04067,0.04063,0.04064,0.04059,0.04108,0.04089
1785618000000,ask,0.04064219999999999,0.04044,0.04064,0.04055,0.04087,0.04096,0.04103
1785632400000,ask,0.040792949999999994,0.04059,0.04106,0.04096,0.04096,0.04103,0.04086
1785679200000,ask,0.0410643,0.04086,0.04096,0.04095,0.04128,0.04108,0.04096
1785690000000,ask,0.04115475,0.04095,0.04128,0.04127,0.04127,0.04086,0.04074
1785708000000,bid,0.04106365,0.04127,0.04104,0.04074,0.04096,0.04033,0.04047
1785718800000,ask,0.04094369999999999,0.04074,0.04096,0.04058,0.04074,0.04057,0.04107
1785726000000,bid,0.040755200000000005,0.04096,0.04055,0.04074,0.04025,0.04048,0.04109
1785733200000,ask,0.04075275,0.04055,0.04033,0.04025,0.04057,0.04107,0.04105
1785736800000,bid,0.0405363,0.04074,0.04025,0.04034,0.04047,0.04103,0.04106
1785747600000,ask,0.0405417,0.04034,0.04047,0.04048,0.04107,0.04105,0.04107
1785758400000,ask,0.0406824,0.04048,0.04107,0.04103,0.04103,0.04096,0.04087
1785765600000,bid,0.04086465,0.04107,0.04109,0.04103,0.04106,0.04094,0.04097
1785780000000,ask,0.04125525,0.04105,0.04108,0.04096,0.04094,0.04097,0.04092
1785794400000,bid,0.04086465,0.04107,0.04084,0.04087,0.04097,0.04092,0.04107
1785801600000,ask,0.041044199999999996,0.04084,0.04094,0.04097,0.04106,0.04104,0.04086
1785816000000,ask,0.041054249999999994,0.04085,0.04108,0.04092,0.04104,0.04086,0.04075
1785844800000,bid,0.0409542,0.04116,0.04077,0.04063,0.04075,0.04104,0.04073
1785855600000,ask,0.04083314999999999,0.04063,0.04075,0.04075,0.04086,0.04084,0.04111
1785866400000,ask,0.04095375,0.04075,0.04086,0.04104,0.04114,0.04103,0.04106
1785884400000,bid,0.0409343,0.04114,0.04073,0.04097,0.04111,0.04105,0.04084
1785891600000,ask,0.040933649999999995,0.04073,0.04103,0.04111,0.04105,0.04104,0.04093
1785931200000,ask,0.041044199999999996,0.04084,0.04093,0.04094,0.04089,0.04076,0.04072
1785934800000,bid,0.04090445,0.04111,0.04094,0.04078,0.04107,0.04064,0.04068
1785942000000,bid,0.040735299999999995,0.04094,0.04089,0.04107,0.04074,0.04066,0.04055
1785949200000,ask,0.04109445,0.04089,0.04094,0.04074,0.04064,0.04068,0.04086
1785981600000,bid,0.0404766,0.04068,0.04055,0.04065,0.04103,0.04074,0.04093
1785988800000,ask,0.04075275,0.04055,0.04086,0.04103,0.04095,0.04065,0.04105
1785992400000,ask,0.040853249999999994,0.04065,0.04103,0.04096,0.04074,0.04087,0.04096
1786006800000,bid,0.04074525,0.04095,0.04074,0.04077,0.04087,0.04096,0.04127
1786021200000,ask,0.040853249999999994,0.04065,0.04093,0.04087,0.04096,0.04127,0.0414
1786032000000,ask,0.041074349999999996,0.04087,0.04096,0.04074,0.04086,0.04117,0.04099
1786035600000,bid,0.040844750000000006,0.04105,0.04074,0.04072,0.04127,0.0414,0.04127
1786039200000,bid,0.040755200000000005,0.04096,0.04072,0.04086,0.04104,0.04136,0.04125
1786050000000,ask,0.0410643,0.04086,0.04104,0.04094,0.0414,0.04127,0.04089
1786053600000,bid,0.04106365,0.04127,0.04094,0.04117,0.04136,0.04125,0.04093
1786060800000,ask,0.04114469999999999,0.04094,0.0414,0.04136,0.04099,0.04107,0.04107
1786071600000,bid,0.0411532,0.04136,0.04099,0.04127,0.04115,0.04106,0.04108
1786078800000,ask,0.041194949999999994,0.04099,0.04125,0.04115,0.04089,0.04109,0.04085
1786082400000,ask,0.041476349999999995,0.04127,0.04115,0.04107,0.04093,0.04089,0.04076
1786100400000,ask,0.041134649999999995,0.04093,0.04107,0.04109,0.04108,0.04099,0.04084
1786111200000,bid,0.04088455,0.04109,0.04108,0.04098,0.04076,0.04086,0.04099
1786122000000,bid,0.0407751,0.04098,0.04076,0.04099,0.04089,0.04086,0.04098
1786129200000,ask,0.040963799999999995,0.04076,0.04086,0.04089,0.04084,0.04098,0.04106
1786179600000,ask,0.04128539999999999,0.04108,0.04113,0.04107,0.04128,0.04129,0.04109
1786190400000,ask,0.041275349999999995,0.04107,0.04128,0.04134,0.04138,0.04115,0.04107
1786215600000,bid,0.0409542,0.04116,0.04115,0.04109,0.04104,0.04147,0.04114
1786219200000,ask,0.04114469999999999,0.04094,0.04109,0.04105,0.04107,0.04154,0.04107
1786244400000,ask,0.04129545,0.04109,0.04154,0.04148,0.04114,0.04115,0.04115
1786258800000,bid,0.04126265,0.04147,0.04107,0.04123,0.04115,0.04115,0.04135
1786276800000,bid,0.04094425,0.04115,0.04106,0.04109,0.04138,0.04138,0.04088
1786291200000,ask,0.04135575,0.04115,0.04136,0.04129,0.04138,0.04088,0.04085
1786312800000,bid,0.0411731,0.04138,0.04072,0.04088,0.04089,0.04111,0.04107
1786320000000,ask,0.0409236,0.04072,0.04104,0.04089,0.04085,0.04094,0.04106
1786327200000,bid,0.0408348,0.04104,0.04074,0.04085,0.04111,0.04107,0.04116
1786334400000,ask,0.04094369999999999,0.04074,0.04112,0.04111,0.04094,0.04106,0.04075
1786338000000,ask,0.041054249999999994,0.04085,0.04111,0.04107,0.04108,0.0411,0.04088
1786370400000,ask,0.041305499999999995,0.0411,0.04084,0.04075,0.04064,0.04014,0.03991
1786374000000,bid,0.0409542,0.04116,0.04075,0.04088,0.04067,0.04003,0.04
1786384800000,bid,0.0406756,0.04088,0.04067,0.04057,0.04014,0.03991,0.03994
1786395600000,bid,0.040367150000000004,0.04057,0.04014,0.04003,0.04006,0.03988,0.03966
1786413600000,bid,0.0398597,0.04006,0.04,0.03988,0.03994,0.03967,0.03926
1786428000000,ask,0.040079399999999994,0.03988,0.03987,0.03968,0.03967,0.03926,0.03824
1786435200000,bid,0.03967065,0.03987,0.03966,0.03967,0.03952,0.03928,0.03865
1786438800000,ask,0.039878399999999994,0.03968,0.03967,0.03966,0.03966,0.03929,0.03872
1786456800000,bid,0.0394617,0.03966,0.03886,0.03928,0.03824,0.03876,0.03887
1786464000000,ask,0.03905429999999999,0.03886,0.03929,0.03824,0.03865,0.03874,0.03873
