open_time_ms,open,high,low,close,vol_base,vol_quote
1785690000000,0.0297,0.03004,0.0295,0.03,1440122.2,42801.48351
1785693600000,0.03,0.03016,0.02986,0.03013,927176.22,27818.36562
1785697200000,0.03013,0.03236,0.0301,0.03236,436919.88,13447.49136
1785700800000,0.03236,0.03236,0.03042,0.03062,1869299.29,57225.00998
1785704400000,0.03062,0.03079,0.03026,0.03027,1044525.44,31960.23471
1785708000000,0.03027,0.03114,0.03024,0.0304,108344.31,3315.95237
1785711600000,0.0304,0.03066,0.03029,0.03053,74843.5,2279.74434
1785715200000,0.03053,0.03073,0.03031,0.03051,103573.2,3158.73501
1785718800000,0.03051,0.03172,0.03032,0.03044,182627.11,5652.81975
1785722400000,0.03044,0.03063,0.02993,0.03023,784818.62,23840.156
1785726000000,0.03023,0.03023,0.02984,0.03018,1127128.35,33838.89981
1785729600000,0.03018,0.03033,0.02984,0.0302,856010.98,25728.55838
1785733200000,0.0302,0.03035,0.02979,0.03019,698677.94,20996.56436
1785736800000,0.03019,0.03098,0.03017,0.03086,259811.71,7884.12896
1785740400000,0.03086,0.03291,0.02989,0.03007,2932559.54,88936.46661
1785744000000,0.03007,0.03053,0.02984,0.03039,569846.58,17135.99626
1785747600000,0.03039,0.03159,0.03019,0.03059,302759.62,9265.77537
1785751200000,0.03059,0.0313,0.03052,0.03095,214526.34,6623.89667
1785754800000,0.03095,0.03099,0.03055,0.03066,258392.78,7934.39247
1785758400000,0.03066,0.03102,0.03045,0.03057,177618.81,5446.35754
1785762000000,0.03057,0.03065,0.03031,0.03056,778134.17,23688.78232
1785765600000,0.03056,0.03113,0.03055,0.03111,261394.67,8022.63861
1785769200000,0.03111,0.03155,0.03096,0.03104,458728.48,14272.97113
1785772800000,0.03104,0.03152,0.03099,0.03101,314957.95,9833.84621
1785776400000,0.03101,0.03209,0.03101,0.03153,173975.25,5484.71405
1785780000000,0.03153,0.03282,0.03153,0.03277,140320.05,4541.68432
1785783600000,0.03277,0.03319,0.03247,0.03259,182835.52,6006.27219
1785787200000,0.03259,0.03351,0.0322,0.0322,239501.44,7844.54883
1785790800000,0.0322,0.03289,0.03208,0.03282,245016.85,7971.9157
1785794400000,0.03282,0.03308,0.03232,0.03291,106603.94,3495.80082
1785798000000,0.03291,0.03352,0.03246,0.03334,112921.21,3709.15603
1785801600000,0.03334,0.03433,0.03326,0.03392,254894,8604.19381
1785805200000,0.03392,0.0353,0.03367,0.03485,173290.55,5993.14845
1785808800000,0.03485,0.03549,0.03438,0.03518,232406.29,8129.6089
1785812400000,0.03518,0.03545,0.03377,0.03435,202722.46,7018.93226
1785816000000,0.03435,0.03591,0.03435,0.03472,121147.86,4251.82127
1785819600000,0.03472,0.03472,0.03253,0.03277,171302.85,5733.99801
1785823200000,0.03277,0.03307,0.03235,0.03295,117259.36,3837.58527
1785826800000,0.03295,0.03355,0.03259,0.03352,134642.75,4450.65332
1785830400000,0.03352,0.03358,0.03301,0.03335,166050.69,5540.55159
1785834000000,0.03335,0.03408,0.03322,0.03378,137492.29,4619.17952
1785837600000,0.03378,0.03449,0.03354,0.03381,179510.15,6112.40746
1785841200000,0.03381,0.034,0.03336,0.034,74250.97,2496.8197
1785844800000,0.034,0.03462,0.03387,0.03458,179288.47,6131.62242
1785848400000,0.03458,0.03636,0.03406,0.03595,345662.81,12233.35656
1785852000000,0.03595,0.03612,0.03523,0.03569,266917.11,9526.91921
1785855600000,0.03569,0.03576,0.03464,0.03527,254145.19,8932.13756
1785859200000,0.03527,0.03611,0.03496,0.03601,360259.05,12802.52874
