open_time_ms,open,high,low,close,vol_base,vol_quote
1785553200000,0.016101,0.01652,0.016071,0.016436,543332.21,8910.557206
1785556800000,0.016436,0.0169,0.016436,0.016807,717298.52,12011.824497
1785560400000,0.016807,0.016814,0.016576,0.016591,161611.6,2690.17225
1785564000000,0.016591,0.016639,0.016467,0.016548,252921.26,4186.79067
1785567600000,0.016548,0.016586,0.016285,0.0163,319539.12,5256.743902
1785571200000,0.0163,0.016428,0.016294,0.016411,122663.54,2007.8896
1785574800000,0.016411,0.016462,0.016317,0.016452,160142.18,2621.38482
1785578400000,0.016452,0.016452,0.016309,0.01632,102512.76,1677.40112
1785582000000,0.01632,0.016433,0.016286,0.016297,185828.65,3040.403642
1785585600000,0.016297,0.016449,0.016289,0.016378,183754.54,3011.392092
1785589200000,0.016378,0.016679,0.016348,0.016637,589076.4,9724.299241
1785592800000,0.016637,0.016648,0.016468,0.016545,183775.11,3045.884161
1785596400000,0.016545,0.016553,0.016446,0.016528,174403.07,2879.97906
1785600000000,0.016528,0.01675,0.016439,0.016503,223793.23,3709.140867
1785603600000,0.016503,0.016584,0.01625,0.016285,221114.07,3621.721724
1785607200000,0.016285,0.016301,0.01597,0.01611,351961.1,5679.190414
1785610800000,0.01611,0.016162,0.016051,0.016081,257181.3,4145.793896
1785614400000,0.016081,0.016099,0.016004,0.016084,179731.41,2886.130787
1785618000000,0.016084,0.016145,0.016033,0.016117,245782.57,3955.787499
1785621600000,0.016117,0.016122,0.016023,0.016042,167646.77,2695.170269
1785625200000,0.016042,0.016064,0.015965,0.016026,183653.09,2942.144936
1785628800000,0.016026,0.01621,0.01602,0.016148,240915.3,3874.246647
1785632400000,0.016148,0.01627,0.016148,0.016186,204124.9,3311.068067
1785636000000,0.016186,0.016396,0.016161,0.016327,139766.63,2276.661647
1785639600000,0.016327,0.016351,0.016269,0.016276,152354.7,2484.826084
1785643200000,0.016276,0.016305,0.016213,0.016243,178048.06,2895.545046
1785646800000,0.016243,0.016288,0.01619,0.01628,181019.86,2936.089748
1785650400000,0.01628,0.016423,0.016206,0.016214,383412.39,6245.655876
1785654000000,0.016214,0.016272,0.016206,0.016213,134066.94,2176.380758
1785657600000,0.016213,0.016253,0.016197,0.016226,214978.48,3487.396857
1785661200000,0.016226,0.016414,0.016161,0.016407,231845.16,3776.969076
1785664800000,0.016407,0.016419,0.016317,0.016341,222042.45,3635.513743
1785668400000,0.016341,0.016385,0.016219,0.016233,207486.44,3385.042783
1785672000000,0.016233,0.016287,0.016217,0.016252,171558.19,2787.986799
1785675600000,0.016252,0.016275,0.016227,0.016246,156754.96,2547.263945
1785679200000,0.016246,0.016296,0.016215,0.016232,325013.62,5285.136568
1785682800000,0.016232,0.016298,0.016216,0.016259,138651.78,2253.979522
1785686400000,0.016259,0.016259,0.016129,0.016156,253280.82,4095.365526
1785690000000,0.016156,0.016283,0.01614,0.016215,1038585.04,16879.282243
1785693600000,0.016215,0.016326,0.016205,0.016289,166556.27,2709.490315
1785697200000,0.016289,0.016363,0.016285,0.016315,168635.85,2749.627389
1785700800000,0.016315,0.016334,0.016205,0.016222,155219.7,2522.817556
1785704400000,0.016222,0.016283,0.016185,0.016269,141078.8,2289.777477
1785708000000,0.016269,0.016284,0.016173,0.016176,128770.38,2090.056872
1785711600000,0.016176,0.016186,0.016077,0.016098,189721.51,3056.320456
1785715200000,0.016098,0.016111,0.01596,0.01598,282017.4,4523.499714
