ts_ms,side,fill_price,mid_at_fill,px_1h,px_2h,px_4h,px_8h,px_12h
1785556800000,ask,0.016518179999999997,0.016436,0.016591,0.016548,0.016411,0.016378,0.016503
1785560400000,bid,0.016722965,0.016807,0.016548,0.0163,0.016452,0.016637,0.016285
1785564000000,bid,0.016508045000000002,0.016591,0.0163,0.016411,0.01632,0.016545,0.01611
1785571200000,ask,0.016381499999999997,0.0163,0.016452,0.01632,0.016378,0.016503,0.016084
1785574800000,bid,0.016328944999999997,0.016411,0.01632,0.016297,0.016637,0.016285,0.016117
1785582000000,ask,0.0164016,0.01632,0.016378,0.016637,0.016528,0.016081,0.016026
1785585600000,ask,0.016378484999999998,0.016297,0.016637,0.016545,0.016503,0.016084,0.016148
1785592800000,bid,0.016553815,0.016637,0.016528,0.016503,0.01611,0.016042,0.016327
1785596400000,bid,0.016462275000000002,0.016545,0.016503,0.016285,0.016081,0.016026,0.016276
1785600000000,ask,0.01661064,0.016528,0.016285,0.01611,0.016084,0.016148,0.016243
1785603600000,bid,0.016420485,0.016503,0.01611,0.016081,0.016117,0.016186,0.01628
1785621600000,bid,0.016036415,0.016117,0.016026,0.016148,0.016327,0.016214,0.016341
1785628800000,ask,0.016106129999999996,0.016026,0.016186,0.016327,0.016243,0.016226,0.016252
1785632400000,ask,0.01622874,0.016148,0.016327,0.016276,0.01628,0.016407,0.016246
1785650400000,ask,0.016361399999999998,0.01628,0.016213,0.016226,0.016341,0.016232,0.016289
1785661200000,ask,0.01630713,0.016226,0.016341,0.016233,0.016246,0.016215,0.016269
1785664800000,bid,0.016324965,0.016407,0.016233,0.016252,0.016232,0.016289,0.016176
1785668400000,bid,0.016259295,0.016341,0.016252,0.016246,0.016259,0.016315,0.016098
1785686400000,bid,0.016177705,0.016259,0.016215,0.016289,0.016222,0.01598,0.015921
1785690000000,ask,0.01623678,0.016156,0.016289,0.016315,0.016269,0.015905,0.016079
1785693600000,ask,0.016296075,0.016215,0.016315,0.016222,0.016176,0.01592,0.015867
1785700800000,bid,0.016233425,0.016315,0.016269,0.016176,0.01598,0.015921,0.015998
1785708000000,bid,0.016187655,0.016269,0.016098,0.01598,0.01592,0.015867,0.016046
1785718800000,bid,0.0159001,0.01598,0.01592,0.015456,0.016079,0.016012,0.016023
1785722400000,ask,0.015984524999999996,0.015905,0.015456,0.015921,0.015867,0.016046,0.016035
1785726000000,bid,0.0158404,0.01592,0.015921,0.016079,0.015919,0.015901,0.016673
1785729600000,ask,0.015533279999999998,0.015456,0.016079,0.015867,0.015998,0.01587,0.018221
1785733200000,ask,0.016000605,0.015921,0.015867,0.015919,0.016012,0.016023,0.018069
1785736800000,bid,0.015998605,0.016079,0.015919,0.015998,0.016046,0.016035,0.018177
1785740400000,ask,0.015946335,0.015867,0.015998,0.016012,0.015901,0.016673,0.018419
1785754800000,bid,0.01596577,0.016046,0.01587,0.016023,0.016673,0.018419,0.019208
1785762000000,ask,0.015949349999999998,0.01587,0.016035,0.016673,0.018069,0.019075,0.019073
1785769200000,ask,0.016115175,0.016035,0.018221,0.018069,0.018419,0.019208,0.018825
1785776400000,bid,0.018129895,0.018221,0.018177,0.018419,0.019075,0.019073,0.01771
