open_time_ms,open,high,low,close,vol_base,vol_quote
1785009600000,0.2237,0.2239,0.2222,0.2222,11013.5,2451.9969
1785013200000,0.2222,0.2223,0.2211,0.2215,12161.14,2695.784
1785016800000,0.2215,0.2223,0.2209,0.2211,9982.5,2213.0872
1785020400000,0.2211,0.2214,0.2206,0.2209,9553.76,2111.6993
1785024000000,0.2209,0.2222,0.2209,0.2222,9341.82,2067.2174
1785027600000,0.2222,0.2224,0.2211,0.2214,9474.73,2098.392
1785031200000,0.2214,0.222,0.221,0.2211,9910.9,2193.9644
1785034800000,0.2211,0.2212,0.2201,0.2202,10961.14,2417.308
1785038400000,0.2202,0.2207,0.2199,0.2201,10452.35,2302.0462
1785042000000,0.2201,0.2206,0.2199,0.2205,15100.16,3324.8873
1785045600000,0.2205,0.2205,0.219,0.22,9502.87,2088.6888
1785049200000,0.22,0.2204,0.2195,0.2196,10689.04,2350.8127
1785052800000,0.2196,0.2201,0.2194,0.2196,9570.31,2101.7843
1785056400000,0.2196,0.2197,0.2187,0.2189,11147.31,2443.1848
1785060000000,0.2189,0.2202,0.2189,0.219,9790.45,2148.6091
1785063600000,0.219,0.2194,0.2188,0.2189,9366.72,2052.1999
1785067200000,0.2189,0.2203,0.2188,0.2195,10023.71,2198.9577
1785070800000,0.2195,0.2214,0.2185,0.2188,8911.21,1951.5486
1785074400000,0.2188,0.2196,0.2187,0.219,9499.89,2081.8093
1785078000000,0.219,0.2195,0.2188,0.2194,8437.69,1849.1951
1785081600000,0.2194,0.2196,0.2189,0.2191,10391.56,2277.7452
1785085200000,0.2191,0.2195,0.2183,0.2183,9620.78,2106.1542
1785088800000,0.2183,0.2184,0.2176,0.2177,10680.97,2326.9796
1785092400000,0.2177,0.2177,0.2167,0.2168,11936.25,2591.1071
1785096000000,0.2168,0.2171,0.2167,0.2169,9078.17,1968.7191
1785099600000,0.2169,0.2175,0.2167,0.2173,10701.14,2324.1326
1785103200000,0.2173,0.2185,0.2173,0.2184,8912.64,1945.1892
1785106800000,0.2184,0.2193,0.2181,0.2185,7132.92,1558.3043
1785110400000,0.2185,0.219,0.2183,0.2187,9635.91,2106.3273
1785114000000,0.2187,0.2196,0.2186,0.2196,8859.37,1941.2145
1785117600000,0.2196,0.2205,0.2194,0.2204,9471.87,2082.6305
1785121200000,0.2204,0.2206,0.2196,0.22,9295.21,2045.3716
1785124800000,0.22,0.2206,0.2197,0.2198,9483.36,2087.5615
1785128400000,0.2198,0.2203,0.2195,0.22,10019.87,2203.9605
1785132000000,0.22,0.2203,0.2188,0.2192,9251.94,2033.6674
1785135600000,0.2192,0.2199,0.2187,0.2191,10007.97,2192.4004
1785139200000,0.2191,0.2194,0.2178,0.2179,10184.86,2228.1099
1785142800000,0.2179,0.2179,0.2165,0.2166,10099.14,2192.3147
1785146400000,0.2166,0.2172,0.2161,0.2167,6935.26,1501.0502
1785150000000,0.2167,0.2167,0.2151,0.2155,14235.37,3071.9871
1785153600000,0.2155,0.216,0.2147,0.2153,11832.35,2547.5923
1785157200000,0.2153,0.2158,0.2145,0.2146,13756.66,2958.3105
1785160800000,0.2146,0.2146,0.209,0.2101,12861.22,2726.1003
1785164400000,0.2101,0.2104,0.2089,0.2092,9936.54,2083.4049
1785168000000,0.2092,0.2102,0.208,0.2101,10594.98,2218.5031
1785171600000,0.2101,0.2128,0.21,0.212,11818.78,2499.3953
1785175200000,0.212,0.2122,0.2099,0.2115,10140.3,2138.0781
1785178800000,0.2115,0.2116,0.2109,0.2113,9430.58,1992.7853
1785182400000,0.2113,0.2136,0.2112,0.2136,10799.25,2286.8309
1785186000000,0.2136,0.2145,0.2127,0.2129,10492.42,2239.0506
1785189600000,0.2129,0.213,0.2083,0.2084,13347.7,2820.2102
1785193200000,0.2084,0.2095,0.2073,0.2079,9351.91,1947.5976
1785196800000,0.2079,0.2084,0.2064,0.2066,12314.19,2553.9686
1785200400000,0.2066,0.2066,0.2037,0.2048,10223.42,2095.8154
1785204000000,0.2048,0.2074,0.2045,0.2066,11252.09,2320.3526
1785207600000,0.2066,0.2066,0.2053,0.2055,10303.53,2120.4877
1785211200000,0.2055,0.2058,0.2047,0.2051,9198.07,1888.1205
1785214800000,0.2051,0.2061,0.2047,0.205,16752.53,3438.3434
1785218400000,0.205,0.2066,0.2048,0.2066,8525.63,1752.3305
1785222000000,0.2066,0.207,0.205,0.2055,9645.03,1989.1797
1785225600000,0.2055,0.2057,0.2049,0.2053,10309.11,2115.9368
1785229200000,0.2053,0.2061,0.2051,0.2054,9139.54,1879.8524
1785232800000,0.2054,0.2059,0.2051,0.2051,10674.32,2192.2037
1785236400000,0.2051,0.2057,0.2044,0.205,10129.82,2076.3168
1785240000000,0.205,0.2065,0.2048,0.2064,10315.26,2120.7222
1785243600000,0.2064,0.2067,0.2031,0.2043,11689.87,2397.9499
1785247200000,0.2043,0.2055,0.2036,0.2053,11017.24,2254.5334
1785250800000,0.2053,0.2088,0.2051,0.2087,9458.35,1961.6811
1785254400000,0.2087,0.2087,0.2073,0.2081,10030.77,2085.4146
1785258000000,0.2081,0.2081,0.2056,0.2062,10096.65,2087.0468
1785261600000,0.2062,0.2067,0.2061,0.2063,11933.66,2462.2561
1785265200000,0.2063,0.2075,0.2061,0.2074,9065.48,1874.1881
1785268800000,0.2074,0.2076,0.2064,0.2069,9413.55,1947.8226
1785272400000,0.2069,0.2088,0.2069,0.2083,9634.72,2003.9285
1785276000000,0.2083,0.2083,0.2054,0.2055,10042.47,2077.2925
1785279600000,0.2055,0.2071,0.2051,0.2068,11581.39,2385.7118
1785283200000,0.2068,0.2075,0.2064,0.2066,10601,2193.731
1785286800000,0.2066,0.2067,0.2041,0.2042,11327.32,2328.4584
1785290400000,0.2042,0.206,0.204,0.2054,10449.14,2142.2274
1785294000000,0.2054,0.2062,0.2036,0.204,10886.02,2229.2986
1785297600000,0.204,0.2044,0.2027,0.2035,11926.89,2429.5056
1785301200000,0.2035,0.2079,0.2033,0.2079,8987.41,1839.7133
1785304800000,0.2079,0.2094,0.2048,0.2057,14850.35,3068.7312
1785308400000,0.2057,0.2058,0.2039,0.2045,12412.85,2542.0647
1785312000000,0.2045,0.2047,0.2027,0.2029,10941.12,2226.1568
1785315600000,0.2029,0.2042,0.2026,0.204,11869.04,2414.5573
1785319200000,0.204,0.2048,0.2027,0.2033,12826.82,2616.0737
1785322800000,0.2033,0.2046,0.2031,0.2036,10593.23,2157.9744
1785326400000,0.2036,0.2049,0.2023,0.2036,14114.98,2870
1785330000000,0.2036,0.2037,0.2025,0.2035,10836.27,2200.6456
1785333600000,0.2035,0.2037,0.2016,0.2022,10360.34,2096.9879
1785337200000,0.2022,0.2023,0.2013,0.2015,12030.66,2427.5584
1785340800000,0.2015,0.202,0.2006,0.2016,13039.45,2623.9662
1785344400000,0.2016,0.2032,0.2014,0.203,11923.38,2407.4668
1785348000000,0.203,0.2048,0.2021,0.2041,11223.41,2286.8175
1785351600000,0.2041,0.2049,0.2006,0.2006,9803.8,1982.7271
1785355200000,0.2006,0.2016,0.2001,0.2003,10940.66,2196.1175
1785358800000,0.2003,0.2024,0.2001,0.2022,10996.36,2215.2635
1785362400000,0.2022,0.2035,0.2021,0.2031,8780.48,1783.5517
1785366000000,0.2031,0.2035,0.2029,0.2029,9425.13,1915.347
1785369600000,0.2029,0.2038,0.2025,0.2027,12698.37,2580.1571
1785373200000,0.2027,0.2056,0.2027,0.2055,12622.87,2578.7205
1785376800000,0.2055,0.2061,0.205,0.2059,16471.37,3384.1882
1785380400000,0.2059,0.2062,0.2055,0.2061,12146.8,2500.7632
1785384000000,0.2061,0.2069,0.2054,0.2066,12179.26,2509.9032
1785387600000,0.2066,0.2101,0.2065,0.2098,11445.85,2382.4507
1785391200000,0.2098,0.217,0.2098,0.215,27021.1,5787.1984
1785394800000,0.215,0.2191,0.215,0.2166,13230.36,2876.5447
1785398400000,0.2166,0.2188,0.2149,0.2156,12500.78,2705.0331
1785402000000,0.2156,0.2166,0.2149,0.2151,10486.9,2262.193
1785405600000,0.2151,0.2161,0.2135,0.2151,11236.06,2415.3094
1785409200000,0.2151,0.2171,0.2146,0.2168,8219.06,1773.7295
1785412800000,0.2168,0.2205,0.2168,0.2174,10855.84,2374.3158
1785416400000,0.2174,0.2194,0.2169,0.2175,15408.89,3355.0298
1785420000000,0.2175,0.2175,0.2153,0.2156,10294.54,2222.6934
1785423600000,0.2156,0.216,0.2144,0.2156,7574.47,1631.2643
1785427200000,0.2156,0.219,0.2156,0.2164,13176.36,2869.2516
1785430800000,0.2164,0.2172,0.216,0.2165,9029.89,1956.092
1785434400000,0.2165,0.2179,0.2149,0.2151,10524.33,2266.9792
1785438000000,0.2151,0.2158,0.215,0.2156,11077.6,2386.1386
1785441600000,0.2156,0.2162,0.214,0.214,7618.07,1638.4211
