ts_ms,side,fill_price,mid_at_fill,px_1h,px_2h,px_4h,px_8h,px_12h
1785024000000,ask,0.2220045,0.2209,0.2214,0.2211,0.2201,0.2196,0.2195
1785045600000,bid,0.2193975,0.2205,0.2196,0.2196,0.219,0.219,0.2177
1785060000000,ask,0.21999449999999998,0.2189,0.2189,0.2195,0.219,0.2177,0.2184
1785070800000,ask,0.22059749999999997,0.2195,0.219,0.2194,0.2183,0.2173,0.2196
1785103200000,ask,0.21838649999999998,0.2173,0.2185,0.2187,0.2204,0.2192,0.2167
1785132000000,bid,0.2189,0.22,0.2191,0.2179,0.2167,0.2101,0.2115
1785142800000,bid,0.21681050000000002,0.2179,0.2167,0.2155,0.2146,0.212,0.2129
1785160800000,bid,0.21352700000000002,0.2146,0.2092,0.2101,0.2115,0.2084,0.2066
1785171600000,ask,0.2111505,0.2101,0.2115,0.2113,0.2129,0.2048,0.205
1785175200000,bid,0.21094,0.212,0.2113,0.2136,0.2084,0.2066,0.2066
1785182400000,ask,0.21235649999999998,0.2113,0.2129,0.2084,0.2066,0.2051,0.2053
1785189600000,bid,0.2118355,0.2129,0.2079,0.2066,0.2066,0.2066,0.2051
1785193200000,bid,0.20735800000000001,0.2084,0.2066,0.2048,0.2055,0.2055,0.205
1785193200000,ask,0.209442,0.2084,0.2066,0.2048,0.2055,0.2055,0.205
1785196800000,bid,0.2068605,0.2079,0.2048,0.2066,0.2051,0.2053,0.2064
1785204000000,ask,0.20582399999999998,0.2048,0.2055,0.2051,0.2066,0.2051,0.2053
1785207600000,bid,0.205567,0.2066,0.2051,0.205,0.2055,0.205,0.2087
1785218400000,ask,0.20602499999999996,0.205,0.2055,0.2053,0.2051,0.2053,0.2063
1785222000000,bid,0.205567,0.2066,0.2053,0.2054,0.205,0.2087,0.2074
1785240000000,ask,0.20602499999999996,0.205,0.2043,0.2053,0.2081,0.2069,0.2066
1785243600000,bid,0.205368,0.2064,0.2053,0.2087,0.2062,0.2083,0.2042
1785247200000,ask,0.2053215,0.2043,0.2087,0.2081,0.2063,0.2055,0.2054
1785254400000,bid,0.2076565,0.2087,0.2062,0.2063,0.2069,0.2066,0.2035
1785258000000,bid,0.2070595,0.2081,0.2063,0.2074,0.2083,0.2042,0.2079
1785265200000,ask,0.2073315,0.2063,0.2069,0.2083,0.2068,0.204,0.2045
1785272400000,ask,0.20793449999999997,0.2069,0.2055,0.2068,0.2042,0.2079,0.204
1785276000000,bid,0.2072585,0.2083,0.2068,0.2066,0.2054,0.2057,0.2033
1785279600000,ask,0.20652749999999997,0.2055,0.2066,0.2042,0.204,0.2045,0.2036
1785286800000,bid,0.205567,0.2066,0.2054,0.204,0.2079,0.204,0.2035
1785290400000,ask,0.20522099999999996,0.2042,0.204,0.2035,0.2057,0.2033,0.2022
1785294000000,bid,0.204373,0.2054,0.2035,0.2079,0.2045,0.2036,0.2015
1785297600000,bid,0.20298,0.204,0.2079,0.2057,0.2029,0.2036,0.2016
1785301200000,ask,0.20451749999999996,0.2035,0.2057,0.2045,0.204,0.2035,0.203
1785304800000,bid,0.2068605,0.2079,0.2045,0.2029,0.2033,0.2022,0.2041
1785304800000,ask,0.20893949999999997,0.2079,0.2045,0.2029,0.2033,0.2022,0.2041
1785308400000,bid,0.2046715,0.2057,0.2029,0.204,0.2036,0.2015,0.2006
1785315600000,ask,0.20391449999999997,0.2029,0.2033,0.2036,0.2035,0.203,0.2022
1785319200000,bid,0.20298,0.204,0.2036,0.2036,0.2022,0.2041,0.2031
1785322800000,ask,0.20431649999999998,0.2033,0.2036,0.2035,0.2015,0.2006,0.2029
1785326400000,bid,0.202582,0.2036,0.2035,0.2022,0.2016,0.2003,0.2027
1785326400000,ask,0.204618,0.2036,0.2035,0.2022,0.2016,0.2003,0.2027
1785330000000,bid,0.202582,0.2036,0.2022,0.2015,0.203,0.2022,0.2055
1785344400000,ask,0.20260799999999998,0.2016,0.2041,0.2006,0.2022,0.2055,0.2098
1785351600000,bid,0.2030795,0.2041,0.2003,0.2022,0.2029,0.2061,0.2166
1785358800000,ask,0.2013015,0.2003,0.2031,0.2029,0.2055,0.2098,0.2151
1785373200000,ask,0.20371349999999996,0.2027,0.2059,0.2061,0.2098,0.2151,0.2175
1785387600000,ask,0.20763299999999998,0.2066,0.215,0.2166,0.2151,0.2175,0.2165
1785398400000,bid,0.215517,0.2166,0.2151,0.2151,0.2174,0.2164,0.214
1785398400000,ask,0.21768299999999996,0.2166,0.2151,0.2151,0.2174,0.2164,0.214
1785405600000,bid,0.2140245,0.2151,0.2168,0.2174,0.2156,0.2151,0.2142
1785409200000,ask,0.2161755,0.2151,0.2174,0.2175,0.2156,0.2156,0.2133
1785412800000,ask,0.21788399999999997,0.2168,0.2175,0.2156,0.2164,0.214,0.214
1785420000000,bid,0.2164125,0.2175,0.2156,0.2164,0.2151,0.2142,0.2134
1785423600000,bid,0.21452200000000002,0.2156,0.2164,0.2165,0.2156,0.2133,0.2155
1785427200000,ask,0.21667799999999998,0.2156,0.2165,0.2151,0.214,0.214,0.2145
1785434400000,bid,0.21541749999999998,0.2165,0.2156,0.214,0.2142,0.2134,0.2161
1785434400000,ask,0.21758249999999998,0.2165,0.2156,0.214,0.2142,0.2134,0.2161
1785441600000,bid,0.21452200000000002,0.2156,0.2139,0.2142,0.214,0.2145,0.2249
1785452400000,bid,0.213129,0.2142,0.214,0.2134,0.2155,0.2209,0.2252
1785456000000,ask,0.21436649999999996,0.2133,0.2134,0.2134,0.2145,0.2249,0.2242
1785459600000,ask,0.21506999999999998,0.214,0.2134,0.2155,0.215,0.2272,0.2202
1785470400000,bid,0.2144225,0.2155,0.215,0.2161,0.2249,0.2242,0.2225
1785477600000,ask,0.21607499999999996,0.215,0.2209,0.2249,0.2276,0.223,0.2211
1785481200000,bid,0.21501949999999997,0.2161,0.2249,0.2272,0.2252,0.2269,0.2225
1785481200000,ask,0.21718049999999997,0.2161,0.2249,0.2272,0.2252,0.2269,0.2225
1785484800000,ask,0.2220045,0.2209,0.2272,0.2276,0.2242,0.2225,0.2214
1785492000000,bid,0.22606400000000001,0.2272,0.2252,0.2242,0.223,0.2211,0.2197
1785495600000,bid,0.226462,0.2276,0.2242,0.2202,0.2269,0.2225,0.2199
1785495600000,ask,0.22873799999999997,0.2276,0.2242,0.2202,0.2269,0.2225,0.2199
1785499200000,bid,0.22407400000000002,0.2252,0.2202,0.223,0.2225,0.2214,0.2199
1785506400000,ask,0.22130099999999997,0.2202,0.2269,0.2225,0.2211,0.2197,0.2196
