open_time_ms,open,high,low,close,vol_base,vol_quote
1785553200000,0.02203,0.02207,0.02192,0.02201,125248.62,2751.03367
1785556800000,0.02201,0.02208,0.02193,0.02207,154846.11,3408.78741
1785560400000,0.02207,0.02208,0.02181,0.02184,126923.67,2781.33485
1785564000000,0.02184,0.02209,0.02183,0.02197,118381.69,2600.82771
1785567600000,0.02197,0.02202,0.02189,0.02191,100523.7,2205.26781
1785571200000,0.02191,0.02215,0.02189,0.02206,145837.49,3214.55975
1785574800000,0.02206,0.02217,0.02201,0.02212,160395.48,3546.57449
1785578400000,0.02212,0.02225,0.022,0.02225,112715.62,2492.33595
1785582000000,0.02225,0.02244,0.02218,0.0222,945356.46,21037.54254
1785585600000,0.0222,0.02221,0.02203,0.02206,196907.4,4346.7904
1785589200000,0.02206,0.02213,0.02189,0.02193,172620.31,3792.90766
1785592800000,0.02193,0.02197,0.02187,0.0219,116390.85,2550.22919
1785596400000,0.0219,0.02191,0.0217,0.02171,184004.41,4013.67315
1785600000000,0.02171,0.02188,0.0217,0.02171,150390.58,3275.56175
1785603600000,0.02171,0.02183,0.02159,0.02166,170746.64,3707.43818
1785607200000,0.02166,0.02168,0.02132,0.02141,220393.28,4732.91582
1785610800000,0.02141,0.02152,0.02139,0.02144,168139.51,3609.38868
1785614400000,0.02144,0.02147,0.02141,0.02147,93208.72,1998.60265
1785618000000,0.02147,0.02159,0.02146,0.02158,104148.98,2242.1578
1785621600000,0.02158,0.0216,0.02148,0.02149,119917.11,2584.95789
1785625200000,0.02149,0.02151,0.0214,0.02142,100477.12,2154.91637
1785628800000,0.02142,0.02154,0.0214,0.02149,103273.88,2217.87411
1785632400000,0.02149,0.02165,0.02149,0.02153,116262.32,2509.73059
1785636000000,0.02153,0.02189,0.0215,0.02186,166671.23,3627.97553
1785639600000,0.02186,0.02193,0.02181,0.02186,108818.58,2379.21148
1785643200000,0.02186,0.02205,0.02186,0.02204,165998.85,3643.16026
1785646800000,0.02204,0.02205,0.02191,0.02196,109842.63,2411.84184
1785650400000,0.02196,0.02204,0.02189,0.02197,99079.73,2174.495
1785654000000,0.02197,0.02199,0.02182,0.02185,419033.14,9176.65831
1785657600000,0.02185,0.02202,0.02185,0.02186,96493.97,2117.82631
1785661200000,0.02186,0.02193,0.02169,0.02175,1520740.97,33150.92795
1785664800000,0.02175,0.02177,0.02152,0.02161,882976.25,19054.15798
1785668400000,0.02161,0.02167,0.02155,0.02157,158334.96,3424.2864
1785672000000,0.02157,0.02165,0.02156,0.02159,209597.16,4527.05513
1785675600000,0.02159,0.02159,0.0215,0.02154,107837.26,2323.93423
1785679200000,0.02154,0.02167,0.02149,0.02162,113470.92,2451.95303
1785682800000,0.02162,0.02164,0.02153,0.02154,145407.19,3136.94623
1785686400000,0.02154,0.02171,0.02151,0.02166,160644.08,3470.54022
1785690000000,0.02166,0.02173,0.02164,0.02173,107283.75,2325.52366
1785693600000,0.02173,0.02176,0.02166,0.02167,230114.39,5001.75915
1785697200000,0.02167,0.02183,0.02166,0.02182,97976.49,2129.28335
1785700800000,0.02182,0.02194,0.02179,0.02194,102515.71,2239.6315
1785704400000,0.02194,0.02196,0.02173,0.02174,133752.6,2922.4483
1785708000000,0.02174,0.02185,0.02167,0.0217,92412.05,2008.86943
1785711600000,0.0217,0.02182,0.02169,0.02176,134168.19,2920.30388
1785715200000,0.02176,0.02184,0.0217,0.02173,173945.48,3786.63888
1785718800000,0.02173,0.02194,0.02165,0.02194,161499.28,3519.8379
1785722400000,0.02194,0.02217,0.02183,0.02216,139748.66,3077.70506
1785726000000,0.02216,0.02217,0.02195,0.02201,143552.95,3165.15633
1785729600000,0.02201,0.02217,0.02195,0.02195,127502.44,2810.85462
1785733200000,0.02195,0.02223,0.02195,0.0222,113430.13,2507.48473
1785736800000,0.0222,0.02223,0.02184,0.02184,173236.72,3804.93459
1785740400000,0.02184,0.02189,0.02173,0.02181,125872.27,2743.58039
1785744000000,0.02181,0.02216,0.0217,0.022,266615.38,5829.92117
1785747600000,0.022,0.02272,0.02199,0.02272,257883.76,5762.54242
1785751200000,0.02272,0.02292,0.0225,0.02292,227899.36,5181.55705
1785754800000,0.02292,0.02321,0.02276,0.02302,632539.94,14566.07823
1785758400000,0.02302,0.02325,0.02268,0.02268,516381.11,11898.29766
1785762000000,0.02268,0.02275,0.02244,0.0226,174959.41,3953.49314
1785765600000,0.0226,0.02267,0.02241,0.02262,113171.79,2550.2119
1785769200000,0.02262,0.02265,0.02237,0.02247,211079.45,4748.62306
1785772800000,0.02247,0.02268,0.02245,0.02264,121018.45,2737.28869
1785776400000,0.02264,0.02276,0.02258,0.02271,121823.51,2760.32287
1785780000000,0.02271,0.02285,0.02263,0.02283,103670.35,2356.8788
1785783600000,0.02283,0.02285,0.02268,0.02276,124139.57,2824.49893
1785787200000,0.02276,0.02286,0.0227,0.02282,99997.77,2277.39436
1785790800000,0.02282,0.02283,0.0227,0.02277,83148.02,1891.58871
1785794400000,0.02277,0.02284,0.02269,0.02274,78997.73,1797.04316
1785798000000,0.02274,0.02277,0.02254,0.02255,99979.36,2265.07803
1785801600000,0.02255,0.02259,0.02237,0.02237,134202.66,3014.51776
1785805200000,0.02237,0.02259,0.02237,0.02253,165688.03,3728.23902
1785808800000,0.02253,0.02257,0.02245,0.02248,106629.46,2401.04442
1785812400000,0.02248,0.02262,0.02241,0.02257,302768.52,6834.01491
1785816000000,0.02257,0.02259,0.02248,0.02249,117229.74,2641.87974
1785819600000,0.02249,0.02255,0.02237,0.02248,149993.66,3365.25332
1785823200000,0.02248,0.02255,0.02242,0.02249,169133.19,3802.93533
1785826800000,0.02249,0.02265,0.02234,0.02264,165720.07,3724.35247
1785830400000,0.02264,0.0229,0.02263,0.02289,175677.13,4002.65483
1785834000000,0.02289,0.0231,0.02276,0.02279,254247.6,5835.6992
1785837600000,0.02279,0.02314,0.02278,0.02294,163569.64,3757.02006
