ts_ms,side,fill_price,mid_at_fill,px_1h,px_2h,px_4h,px_8h,px_12h
1785560400000,bid,0.02195965,0.02207,0.02197,0.02191,0.02212,0.02193,0.02166
1785564000000,ask,0.021949199999999995,0.02184,0.02191,0.02206,0.02225,0.0219,0.02141
1785571200000,ask,0.022019549999999995,0.02191,0.02212,0.02225,0.02206,0.02171,0.02147
1785578400000,bid,0.022009400000000002,0.02212,0.0222,0.02206,0.0219,0.02141,0.02149
1785582000000,ask,0.022361249999999996,0.02225,0.02206,0.02193,0.02171,0.02144,0.02142
1785585600000,bid,0.022089,0.0222,0.02193,0.0219,0.02171,0.02147,0.02149
1785589200000,bid,0.0219497,0.02206,0.0219,0.02171,0.02166,0.02158,0.02153
1785600000000,ask,0.02181855,0.02171,0.02166,0.02141,0.02147,0.02149,0.02204
1785603600000,bid,0.02160145,0.02171,0.02141,0.02144,0.02158,0.02153,0.02196
1785607200000,bid,0.0215517,0.02166,0.02144,0.02147,0.02149,0.02186,0.02197
1785610800000,ask,0.021517049999999996,0.02141,0.02147,0.02158,0.02142,0.02186,0.02185
1785618000000,ask,0.02157735,0.02147,0.02149,0.02142,0.02153,0.02196,0.02175
1785628800000,ask,0.0215271,0.02142,0.02153,0.02186,0.02204,0.02186,0.02159
1785643200000,ask,0.021969299999999997,0.02186,0.02196,0.02197,0.02186,0.02159,0.02166
1785646800000,bid,0.0219298,0.02204,0.02197,0.02185,0.02175,0.02154,0.02173
1785654000000,bid,0.02186015,0.02197,0.02186,0.02175,0.02157,0.02154,0.02182
1785657600000,ask,0.02195925,0.02185,0.02175,0.02161,0.02159,0.02166,0.02194
1785661200000,bid,0.0217507,0.02186,0.02161,0.02157,0.02154,0.02173,0.02174
1785679200000,ask,0.0216477,0.02154,0.02154,0.02166,0.02167,0.0217,0.02216
1785697200000,ask,0.021778349999999995,0.02167,0.02194,0.02174,0.02176,0.02201,0.02181
1785704400000,bid,0.0218303,0.02194,0.0217,0.02176,0.02194,0.0222,0.02272
1785708000000,ask,0.021848699999999995,0.02174,0.02176,0.02173,0.02216,0.02184,0.02292
1785718800000,ask,0.021838649999999998,0.02173,0.02216,0.02201,0.0222,0.02272,0.0226
1785722400000,bid,0.0218303,0.02194,0.02201,0.02195,0.02184,0.02292,0.02262
1785726000000,bid,0.022049199999999998,0.02216,0.02195,0.0222,0.02181,0.02302,0.02247
1785729600000,ask,0.022120049999999995,0.02201,0.0222,0.02184,0.022,0.02268,0.02264
1785733200000,ask,0.02205975,0.02195,0.02184,0.02181,0.02272,0.0226,0.02271
1785736800000,bid,0.022089,0.0222,0.02181,0.022,0.02292,0.02262,0.02283
1785740400000,bid,0.021730799999999998,0.02184,0.022,0.02272,0.02302,0.02247,0.02276
1785744000000,ask,0.021919049999999995,0.02181,0.02272,0.02292,0.02268,0.02264,0.02282
1785747600000,ask,0.022109999999999998,0.022,0.02292,0.02302,0.0226,0.02271,0.02277
1785751200000,bid,0.022606400000000002,0.02272,0.02302,0.02268,0.02262,0.02283,0.02274
1785754800000,bid,0.0228054,0.02292,0.02268,0.0226,0.02247,0.02276,0.02255
1785754800000,ask,0.023034599999999995,0.02292,0.02268,0.0226,0.02247,0.02276,0.02255
1785758400000,bid,0.0229049,0.02302,0.0226,0.02262,0.02264,0.02282,0.02237
1785758400000,ask,0.023135099999999995,0.02302,0.0226,0.02262,0.02264,0.02282,0.02237
1785762000000,bid,0.0225666,0.02268,0.02262,0.02247,0.02271,0.02277,0.02253
1785772800000,ask,0.022582349999999998,0.02247,0.02271,0.02283,0.02282,0.02237,0.02249
1785783600000,bid,0.02271585,0.02283,0.02282,0.02277,0.02255,0.02257,0.02264
1785798000000,bid,0.0226263,0.02274,0.02237,0.02253,0.02257,0.02264,0.02287
1785805200000,ask,0.022481849999999998,0.02237,0.02248,0.02257,0.02248,0.02279,0.02265
1785812400000,ask,0.0225924,0.02248,0.02249,0.02248,0.02264,0.02287,0.02258
1785819600000,bid,0.02237755,0.02249,0.02249,0.02264,0.02279,0.02265,0.02261
1785826800000,bid,0.02237755,0.02249,0.02289,0.02279,0.02287,0.02258,0.02265
1785826800000,ask,0.022602449999999996,0.02249,0.02289,0.02279,0.02287,0.02258,0.02265
1785830400000,ask,0.022753199999999998,0.02264,0.02279,0.02294,0.02277,0.0225,0.02253
