ts_ms,side,fill_price,mid_at_fill,px_1h,px_2h,px_4h,px_8h,px_12h
1785560400000,ask,0.0026140049999999995,0.002601,0.0025958,0.0025858,0.0025953,0.0025919,0.0025875
1785567600000,bid,0.002582821,0.0025958,0.0025881,0.0025953,0.0025889,0.0026084,0.0026097
1785571200000,ask,0.0025987289999999997,0.0025858,0.0025953,0.0025869,0.0025998,0.0025995,0.0025947
1785578400000,bid,0.0025823235,0.0025953,0.0025889,0.0025998,0.0026127,0.0025965,0.0026368
1785582000000,ask,0.0025998345,0.0025869,0.0025998,0.0025919,0.0026084,0.0026097,0.0026328
1785589200000,bid,0.002586801,0.0025998,0.0026127,0.0026084,0.0025875,0.0026158,0.0026238
1785592800000,ask,0.0026048594999999995,0.0025919,0.0026084,0.0025995,0.0025965,0.0026368,0.0026241
1785596400000,bid,0.0025996365,0.0026127,0.0025995,0.0025875,0.0026097,0.0026328,0.002629
1785600000000,bid,0.002595358,0.0026084,0.0025875,0.0025965,0.0025947,0.0026253,0.0026121
1785607200000,ask,0.0026004375,0.0025875,0.0026097,0.0025947,0.0026368,0.0026241,0.0025997
1785610800000,ask,0.0026094824999999995,0.0025965,0.0025947,0.0026158,0.0026328,0.002629,0.0025976
1785614400000,bid,0.0025966515,0.0026097,0.0026158,0.0026368,0.0026253,0.0026121,0.0026018
1785618000000,ask,0.0026076734999999998,0.0025947,0.0026368,0.0026328,0.0026238,0.0026028,0.0026064
1785628800000,bid,0.002619636,0.0026328,0.0026238,0.0026241,0.0026121,0.0026018,0.0025879
1785643200000,bid,0.002615855,0.002629,0.0026028,0.0025997,0.0026018,0.0025879,0.002623
1785643200000,ask,0.0026421449999999994,0.002629,0.0026028,0.0025997,0.0026018,0.0025879,0.002623
1785657600000,bid,0.002584612,0.0025976,0.0026064,0.0026031,0.0025879,0.002623,0.0026148
1785657600000,ask,0.0026105879999999996,0.0025976,0.0026064,0.0026031,0.0025879,0.002623,0.0026148
1785661200000,bid,0.002588791,0.0026018,0.0026031,0.0025897,0.0025953,0.002622,0.0026103
1785664800000,ask,0.0026194319999999997,0.0026064,0.0025897,0.0025879,0.0026066,0.002615,0.0025979
1785668400000,bid,0.0025900845,0.0026031,0.0025879,0.0025953,0.0026097,0.0026147,0.0025921
1785668400000,ask,0.0026161154999999998,0.0026031,0.0025879,0.0025953,0.0026097,0.0026147,0.0025921
1785675600000,ask,0.0026008395,0.0025879,0.0026066,0.0026097,0.002622,0.0026103,0.0025871
1785679200000,bid,0.0025823235,0.0025953,0.0026097,0.002623,0.002615,0.0025979,0.0026016
1785682800000,bid,0.002593567,0.0026066,0.002623,0.002622,0.0026147,0.0025921,0.0025969
1785682800000,ask,0.0026196329999999997,0.0026066,0.002623,0.002622,0.0026147,0.0025921,0.0025969
1785686400000,ask,0.0026227484999999996,0.0026097,0.002622,0.002615,0.0026148,0.0025924,0.0025922
1785693600000,bid,0.00260889,0.002622,0.0026147,0.0026148,0.0025979,0.0026016,0.002605
1785708000000,bid,0.0025972484999999997,0.0026103,0.0025921,0.0025924,0.0026016,0.002605,0.0025904
1785722400000,ask,0.0026000355,0.0025871,0.0025969,0.0025922,0.002605,0.0025904,0.0025872
1785733200000,ask,0.0026051609999999995,0.0025922,0.002605,0.0025931,0.0025896,0.0025923,0.0025799
1785736800000,bid,0.0025988405,0.0026119,0.0025931,0.0025958,0.0025904,0.0025872,0.0025812
1785740400000,bid,0.0025919750000000003,0.002605,0.0025958,0.0025896,0.0025811,0.0025878,0.0025792
1785740400000,ask,0.002618025,0.002605,0.0025958,0.0025896,0.0025811,0.0025878,0.0025792
1785744000000,ask,0.0026060655,0.0025931,0.0025896,0.0025904,0.0025969,0.0025676,0.0025816
1785747600000,bid,0.002582821,0.0025958,0.0025904,0.0025811,0.0025923,0.0025799,0.0025828
1785751200000,ask,0.0026025479999999997,0.0025896,0.0025811,0.0025969,0.0025872,0.0025812,0.0025803
