ts_ms,side,fill_price,mid_at_fill,px_1h,px_2h,px_4h,px_8h,px_12h
1785463200000,bid,0.00287555,0.00289,0.00287,0.00286,0.00288,0.00287,0.00296
1785463200000,ask,0.00290445,0.00289,0.00287,0.00286,0.00288,0.00287,0.00296
1785466800000,ask,0.00288435,0.00287,0.00286,0.00288,0.00286,0.00288,0.00296
1785477600000,bid,0.0028656000000000003,0.00288,0.00286,0.00286,0.00287,0.00296,0.00296
1785484800000,ask,0.0028742999999999998,0.00286,0.00287,0.00287,0.00287,0.00296,0.00296
1785488400000,ask,0.0028742999999999998,0.00286,0.00287,0.00288,0.00288,0.00296,0.00296
1785492000000,bid,0.00285565,0.00287,0.00288,0.00287,0.00296,0.00296,0.00295
1785495600000,bid,0.00285565,0.00287,0.00287,0.00288,0.00296,0.00296,0.00289
1785495600000,ask,0.00288435,0.00287,0.00287,0.00288,0.00296,0.00296,0.00289
1785499200000,bid,0.0028656000000000003,0.00288,0.00288,0.00296,0.00296,0.00296,0.00289
1785502800000,ask,0.00288435,0.00287,0.00296,0.00296,0.00296,0.00296,0.00289
1785506400000,ask,0.0028943999999999997,0.00288,0.00296,0.00296,0.00296,0.00295,0.00288
1785517200000,ask,0.0029747999999999997,0.00296,0.00296,0.00296,0.00296,0.00289,0.0029
1785520800000,bid,0.0029452,0.00296,0.00296,0.00296,0.00295,0.00288,0.00289
1785538800000,bid,0.00293525,0.00295,0.00289,0.00289,0.00289,0.00289,0.0029
1785553200000,ask,0.0028943999999999997,0.00288,0.00289,0.0029,0.00289,0.0029,0.00288
1785564000000,bid,0.0028854999999999996,0.0029,0.00289,0.00288,0.00288,0.0029,0.0029
1785574800000,ask,0.0028943999999999997,0.00288,0.00288,0.0029,0.0029,0.00291,0.00292
1785578400000,bid,0.00285565,0.00287,0.0029,0.0029,0.0029,0.0029,0.00292
1785582000000,ask,0.0028943999999999997,0.00288,0.0029,0.0029,0.00288,0.0029,0.00292
1785592800000,bid,0.0028854999999999996,0.0029,0.00288,0.00291,0.0029,0.00292,0.00293
1785600000000,ask,0.0028943999999999997,0.00288,0.00291,0.0029,0.00291,0.00294,0.00293
1785603600000,bid,0.00289545,0.00291,0.0029,0.0029,0.00292,0.00292,0.00294
1785614400000,ask,0.0029144999999999996,0.0029,0.00292,0.00292,0.00294,0.00293,0.00292
