event_id,run_utc,pair,event_type,adjustment_type,orig_net_pct,adj_net_pct,fill_prob_applied,slippage_pct_applied,n_depth_snapshots,confidence,is_retroactive_seed
MINAUSDT-FORCED_CLOSE_BID-1786766400000,2026-08-25T20:05:02Z,MINAUSDT,FORCED_CLOSE_BID,slippage,0.78726,0.78726,,0.0,2,thin (2 snapshots),True
MINAUSDT-FORCED_CLOSE_ASK-1786780800000,2026-08-25T20:05:02Z,MINAUSDT,FORCED_CLOSE_ASK,slippage,-0.34017,-0.34017,,0.0,2,thin (2 snapshots),True
MINAUSDT-FORCED_CLOSE_ASK-1786791600000,2026-08-25T20:05:02Z,MINAUSDT,FORCED_CLOSE_ASK,slippage,-0.03269,-0.03269,,0.0,2,thin (2 snapshots),True
MINAUSDT-COMPLETE_RT-1786798800000,2026-08-25T20:05:02Z,MINAUSDT,COMPLETE_RT,fill_probability,1.0,0.5986,0.5986,,2,thin (2 snapshots),True
MINAUSDT-COMPLETE_RT-1786809600000,2026-08-25T20:05:02Z,MINAUSDT,COMPLETE_RT,fill_probability,1.0,0.5986,0.5986,,2,thin (2 snapshots),True
MINAUSDT-COMPLETE_RT-1786834800000,2026-08-25T20:05:02Z,MINAUSDT,COMPLETE_RT,fill_probability,1.0,0.5986,0.5986,,2,thin (2 snapshots),True
MINAUSDT-FORCED_CLOSE_ASK-1786874400000,2026-08-25T20:05:02Z,MINAUSDT,FORCED_CLOSE_ASK,slippage,0.22005,0.22005,,0.0,2,thin (2 snapshots),True
MINAUSDT-FORCED_CLOSE_BID-1786921200000,2026-08-25T20:05:02Z,MINAUSDT,FORCED_CLOSE_BID,slippage,-1.57426,-1.57426,,0.0,2,thin (2 snapshots),True
MINAUSDT-FORCED_CLOSE_ASK-1786935600000,2026-08-25T20:05:02Z,MINAUSDT,FORCED_CLOSE_ASK,slippage,-1.01162,-1.01162,,0.0,2,thin (2 snapshots),True
MINAUSDT-FORCED_CLOSE_ASK-1786971600000,2026-08-25T20:05:02Z,MINAUSDT,FORCED_CLOSE_ASK,slippage,-0.05541,-0.05541,,0.0,2,thin (2 snapshots),True
MINAUSDT-COMPLETE_RT-1786978800000,2026-08-25T20:05:02Z,MINAUSDT,COMPLETE_RT,fill_probability,1.0,0.5986,0.5986,,2,thin (2 snapshots),True
MINAUSDT-FORCED_CLOSE_BID-1786993200000,2026-08-25T20:05:02Z,MINAUSDT,FORCED_CLOSE_BID,slippage,-0.5061,-0.5061,,0.0,2,thin (2 snapshots),True
MINAUSDT-FORCED_CLOSE_BID-1787025600000,2026-08-25T20:05:02Z,MINAUSDT,FORCED_CLOSE_BID,slippage,-1.04601,-1.04601,,0.0,2,thin (2 snapshots),True
MINAUSDT-COMPLETE_RT-1787047200000,2026-08-25T20:05:02Z,MINAUSDT,COMPLETE_RT,fill_probability,1.0,0.5986,0.5986,,2,thin (2 snapshots),True
MINAUSDT-COMPLETE_RT-1787058000000,2026-08-25T20:05:02Z,MINAUSDT,COMPLETE_RT,fill_probability,1.0,0.5986,0.5986,,2,thin (2 snapshots),True
MINAUSDT-COMPLETE_RT-1787068800000,2026-08-25T20:05:02Z,MINAUSDT,COMPLETE_RT,fill_probability,1.0,0.5986,0.5986,,2,thin (2 snapshots),True
MINAUSDT-COMPLETE_RT-1787079600000,2026-08-25T20:05:02Z,MINAUSDT,COMPLETE_RT,fill_probability,1.0,0.5986,0.5986,,2,thin (2 snapshots),True
MINAUSDT-COMPLETE_RT-1787104800000,2026-08-25T20:05:02Z,MINAUSDT,COMPLETE_RT,fill_probability,1.0,0.5986,0.5986,,2,thin (2 snapshots),True
MINAUSDT-COMPLETE_RT-1787115600000,2026-08-25T20:05:02Z,MINAUSDT,COMPLETE_RT,fill_probability,1.0,0.5986,0.5986,,2,thin (2 snapshots),True
MINAUSDT-FORCED_CLOSE_BID-1787130000000,2026-08-25T20:05:02Z,MINAUSDT,FORCED_CLOSE_BID,slippage,-0.48885,-0.48885,,0.0,2,thin (2 snapshots),True
MINAUSDT-COMPLETE_RT-1787144400000,2026-08-25T20:05:02Z,MINAUSDT,COMPLETE_RT,fill_probability,1.0,0.5986,0.5986,,2,thin (2 snapshots),True
MINAUSDT-FORCED_CLOSE_ASK-1787158800000,2026-08-25T20:05:02Z,MINAUSDT,FORCED_CLOSE_ASK,slippage,-4.25885,-4.25885,,0.0,2,thin (2 snapshots),True
